"company_id","name"
"INE491J01022","ASK Automotive Limited"
"INE855F01042","Bartronics India Limited"
"INE991I01015","Aspinwall and Company Limited"
"INE563J01010","Astec LifeSciences Limited"
"INE914M01019","Aster DM Healthcare Limited"
"INE386C01029","Astra Microwave Products Limited"
"INE203A01020","AstraZeneca Pharma India Limited"
"INE646X01014","Astron Paper & Board Mill Limited"
"INE0ALR01029","Atal Realtech Limited"
"INE09KD01013","Atam Valves Limited"
"INE399L01023","Adani Total Gas Limited"
"INE0NN701020","Allcargo Terminals Limited"
"INE285H01022","ATLANTAA LIMITED"
"INE446A01025","Atlas Cycles (Haryana) Limited"
"INE100A01010","Atul Limited"
"INE951D01028","Atul Auto Limited"
"INE949L01017","AU Small Finance Bank Limited"
"INE132H01018","Aurionpro Solutions Limited"
"INE406A01037","Aurobindo Pharma Limited"
"INE898S01029","Aurum PropTech Limited"
"INE218C01016","Ausom Enterprise Limited"
"INE449A01011","Automotive Axles Limited"
"INE718H01014","Autoline Industries Limited"
"INE349W01017","Avadh Sugar & Energy Limited"
"INE0LCL01028","Avalon Technologies Limited"
"INE871C01038","Avanti Feeds Limited"
"INE680Z01018","AVG Logistics Limited"
"INE679V01027","Aditya Vision Limited"
"INE323B01024","Avonmore Capital & Management Services Limited"
"INE652Z01017","AVRO INDIA LIMITED"
"INE488D01021","AVT Natural Products Limited"
"INE108V01019","Awfis Space Solutions Limited"
"INE01BK01022","Antony Waste Handling Cell Limited"
"INE699H01024","Adani Wilmar Limited"
"INE238A01034","Axis Bank Limited"
"INE555B01013","AXISCADES Technologies Limited"
"INE02EZ01022","Axita Cotton Limited"
"INE193B01039","AYM Syntex Limited"
"INE02IJ01035","Azad Engineering Limited"
"INE878I01022","Bafna Pharmaceuticals Limited"
"INE116D01028","B.A.G Films and Media Limited"
"INE020D01022","Baid Finserv Limited"
"INE917I01010","Bajaj Auto Limited"
"INE933K01021","Bajaj Consumer Care Limited"
"INE193E01025","Bajaj Electricals Limited"
"INE918I01026","Bajaj Finserv Limited"
"INE411U01027","Bajaj Healthcare Limited"
"INE377Y01014","Bajaj Housing Finance Limited"
"INE306A01021","Bajaj Hindusthan Sugar Limited"
"INE118A01012","Bajaj Holdings & Investment Limited"
"INE0O9T01021","Indef Manufacturing Limited"
